                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1329,                0.54826,                0.85881,                0.79763,                 0.9269,                0.86611,                0.58516,                 1.1212,                0.52746,                0.84448,               0.000673,               0.000673,               0.000673
                     60,                   1.15,                0.55583,                0.86313,                 0.7173,                0.86955,                0.88217,                0.59271,                 1.0738,                 0.5369,                0.83815,              0.0006723,              0.0006723,              0.0006723
                     61,                 1.1297,                0.55994,                 0.8548,                0.79186,                0.90775,                0.88017,                0.59796,                 1.1343,                0.54171,                0.84301,             0.00067159,             0.00067159,             0.00067159
                     62,                 1.1481,                0.55728,                0.86117,                0.95052,                0.85434,                0.92292,                 0.6295,                 1.1666,                0.54675,                0.84888,             0.00067088,             0.00067088,             0.00067088
                     63,                  1.121,                0.54912,                0.85838,                0.81181,                0.92322,                0.92476,                0.64835,                 1.1195,                0.52966,                0.84118,             0.00067017,             0.00067017,             0.00067017
                     64,                 1.1079,                0.53934,                0.85844,                0.80892,                0.92918,                0.92518,                0.66993,                 1.0881,                0.50678,                0.83948,             0.00066947,             0.00066947,             0.00066947
                     65,                  1.135,                 0.5539,                0.85919,                0.79012,                0.97973,                0.92631,                0.65174,                 1.0658,                0.50917,                0.84118,             0.00066876,             0.00066876,             0.00066876
                     66,                 1.0994,                0.52873,                0.85513,                0.85517,                0.99083,                0.96977,                0.69904,                 1.0626,                0.49662,                0.83728,             0.00066805,             0.00066805,             0.00066805
                     67,                 1.1263,                0.54088,                0.85484,                0.94812,                 0.8506,                0.94605,                0.67125,                 1.0943,                0.51336,                0.84331,             0.00066735,             0.00066735,             0.00066735
                     68,                 1.0953,                0.52578,                0.86116,                0.84596,                0.97905,                0.96745,                0.71362,                 1.1021,                0.50628,                0.84048,             0.00066664,             0.00066664,             0.00066664
                     69,                 1.0887,                0.52609,                0.85096,                0.84737,                0.97534,                0.96266,                0.71419,                 1.0941,                0.53321,                 0.8407,             0.00066593,             0.00066593,             0.00066593
                     70,                 1.0915,                0.52638,                  0.854,                0.88087,                0.98101,                0.96695,                0.70346,                 1.0651,                0.49347,                0.83637,             0.00066523,             0.00066523,             0.00066523
                     71,                 1.1125,                0.53749,                0.85058,                0.89239,                0.97562,                0.96427,                0.70968,                 1.1048,                0.52895,                0.83966,             0.00066452,             0.00066452,             0.00066452
                     72,                 1.1169,                0.53174,                 0.8574,                0.96725,                0.86058,                0.94856,                0.69456,                 1.1767,                0.52263,                0.84731,             0.00066381,             0.00066381,             0.00066381
                     73,                 1.1028,                0.52672,                0.85024,                0.86481,                0.99261,                0.96906,                0.66599,                 1.2746,                0.53163,                0.85663,             0.00066311,             0.00066311,             0.00066311
                     74,                 1.1141,                0.52165,                0.86348,                 0.9667,                0.85179,                0.91852,                0.63866,                  1.116,                0.52423,                0.84114,              0.0006624,              0.0006624,              0.0006624
                     75,                 1.1171,                 0.5251,                0.86485,                0.86439,                0.98182,                0.98811,                0.72608,                 1.1132,                0.51318,                0.83917,             0.00066169,             0.00066169,             0.00066169
                     76,                 1.0911,                0.52581,                0.85686,                0.86465,                0.98182,                0.98756,                0.70038,                 1.0869,                0.50555,                0.83473,             0.00066099,             0.00066099,             0.00066099
                     77,                 1.0811,                0.51329,                0.84485,                0.90564,                0.98182,                0.98612,                0.73416,                 1.0486,                0.49742,                0.83511,             0.00066028,             0.00066028,             0.00066028
                     78,                 1.0867,                0.51631,                0.84908,                0.93377,                0.98701,                0.98525,                 0.7245,                 1.0954,                0.50168,                0.83943,             0.00065957,             0.00065957,             0.00065957
                     79,                 1.1122,                0.52249,                0.85855,                0.92385,                0.91388,                0.94574,                0.68034,                 1.0927,                0.51039,                0.83675,             0.00065886,             0.00065886,             0.00065886
                     80,                 1.0829,                0.52063,                  0.845,                 0.9112,                0.97365,                0.98658,                0.73579,                 1.0943,                0.50555,                0.83466,             0.00065816,             0.00065816,             0.00065816
                     81,                 1.0888,                0.51517,                0.85255,                0.89621,                0.99042,                0.98383,                0.69796,                 1.1185,                 0.5175,                0.83682,             0.00065745,             0.00065745,             0.00065745
                     82,                 1.0737,                0.51236,                0.84651,                0.92446,                0.99165,                0.98627,                0.69243,                 1.0833,                0.51031,                0.84102,             0.00065674,             0.00065674,             0.00065674
                     83,                 1.0885,                0.50983,                0.85664,                0.84204,                0.97611,                0.94361,                 0.6516,                 1.0441,                0.49839,                 0.8348,             0.00065604,             0.00065604,             0.00065604
                     84,                 1.0906,                0.51002,                0.85732,                0.82387,                0.97152,                0.94468,                0.67064,                 1.1081,                0.50368,                0.84302,             0.00065533,             0.00065533,             0.00065533
                     85,                 1.0753,                0.50374,                0.84851,                 0.8549,                0.98809,                0.94453,                0.59362,                 1.1244,                0.52617,                0.84058,             0.00065462,             0.00065462,             0.00065462
                     86,                 1.0973,                0.51379,                0.85666,                0.83967,                0.97614,                0.94385,                0.67594,                 1.0879,                0.51181,                0.84298,             0.00065392,             0.00065392,             0.00065392
                     87,                 1.0788,                0.51639,                 0.8523,                0.84493,                0.96595,                0.94839,                0.67808,                 1.0675,                0.49881,                0.83686,             0.00065321,             0.00065321,             0.00065321
                     88,                 1.0631,                0.50201,                0.84829,                0.88004,                0.98182,                0.96927,                0.68552,                 1.0818,                0.50952,                0.83876,              0.0006525,              0.0006525,              0.0006525
                     89,                  1.075,                0.50204,                0.85224,                0.87652,                0.91803,                0.92589,                0.65056,                 1.1789,                0.52536,                 0.8473,              0.0006518,              0.0006518,              0.0006518
                     90,                 1.0738,                0.50239,                0.85073,                0.89177,                0.96081,                0.96502,                0.70849,                 1.0797,                0.48786,                0.83358,             0.00065109,             0.00065109,             0.00065109
                     91,                 1.0717,                0.49925,                0.85033,                0.87214,                0.99232,                0.96839,                0.69024,                 1.0976,                0.49709,                0.84091,             0.00065038,             0.00065038,             0.00065038
                     92,                 1.0782,                0.49608,                0.84928,                0.89783,                0.99052,                0.96852,                0.71115,                 1.0658,                0.49619,                0.84122,             0.00064968,             0.00064968,             0.00064968
                     93,                 1.0561,                0.49338,                 0.8512,                0.89496,                0.98053,                0.96669,                0.69273,                 1.0709,                0.49591,                0.84053,             0.00064897,             0.00064897,             0.00064897
                     94,                   1.06,                0.49939,                0.84319,                0.92653,                0.98129,                0.98641,                0.72192,                 1.0574,                0.49583,                0.83898,             0.00064826,             0.00064826,             0.00064826
                     95,                 1.0959,                0.50726,                0.85175,                0.88296,                0.98053,                0.98254,                0.71591,                 1.1122,                0.52292,                0.84198,             0.00064756,             0.00064756,             0.00064756
                     96,                 1.0572,                0.50095,                0.84938,                0.86924,                0.96475,                 0.9441,                0.70251,                 1.0634,                0.48829,                 0.8333,             0.00064685,             0.00064685,             0.00064685
                     97,                 1.0637,                0.49898,                 0.8478,                0.86443,                 0.9732,                0.96589,                0.71178,                 1.0617,                 0.4944,                0.83333,             0.00064614,             0.00064614,             0.00064614
                     98,                 1.0649,                0.49245,                0.84094,                0.86989,                0.97374,                0.94525,                0.72127,                 1.0168,                0.47798,                 0.8265,             0.00064543,             0.00064543,             0.00064543
                     99,                 1.0691,                0.49653,                0.84769,                0.89707,                0.98264,                0.94395,                0.70847,                 1.0599,                0.49239,                0.83244,             0.00064473,             0.00064473,             0.00064473
                    100,                  1.065,                 0.4993,                0.84795,                0.92207,                0.97389,                0.94681,                0.69054,                 1.0584,                0.49528,                0.83348,             0.00064402,             0.00064402,             0.00064402
                    101,                 1.0728,                0.49941,                0.84886,                0.91977,                0.96907,                0.94361,                0.67246,                 1.0891,                0.50881,                0.83772,             0.00064331,             0.00064331,             0.00064331
                    102,                 1.0684,                0.49611,                0.85857,                0.89321,                0.97479,                0.96424,                0.69779,                 1.0787,                0.49887,                0.83818,             0.00064261,             0.00064261,             0.00064261
